geoid,geoid20,year,denom_total_pop,lowaccess_count,lowaccess_pct,denom_li_pop,lowaccess_li_count,lowaccess_li_pct,denom_tot_kids,lowaccess_kids_count,lowaccess_kids_pct,denom_tot_seniors,lowaccess_seniors_count,lowaccess_seniors_pct
1400000US06037127520,6037127520,2019,4045,2725,67.367119,3042,1819,59.796188,1332,941,70.645645,105,63,60
1400000US06037127603,6037127603,2019,2927,2824,96.481041,1963,1753,89.302086,849,820,96.584213,142,138,97.183098
1400000US06037127604,6037127604,2019,2933,1292,44.050461,1545,647,41.877022,697,265,38.020084,403,245,60.794044
1400000US06037127605,6037127605,2019,3549,985,27.754297,2603,656,25.201691,1048,313,29.866413,128,25,19.53125
1400000US06037127606,6037127606,2019,3150,2036,64.634918,1284,772,60.124611,804,510,63.432835,222,159,71.62162
1400000US06037127711,6037127711,2019,3356,540,16.090584,1532,248,16.18799,823,140,17.010935,273,32,11.721612
1400000US06037127712,6037127712,2019,2991,0,0,2121,0,0,734,0,0,195,0,0
1400000US06037127803,6037127803,2019,4037,0,0,2631,0,0,1059,0,0,507,0,0
1400000US06037127804,6037127804,2019,3933,0,0,2141,0,0,934,0,0,295,0,0
1400000US06037127805,6037127805,2019,3768,0,0,1955,0,0,845,0,0,594,0,0
1400000US06037127806,6037127806,2019,3447,0,0,2051,0,0,808,0,0,228,0,0
1400000US06037127910,6037127910,2019,4769,134,2.8098133,3247,94,2.89498,1268,41,3.2334385,394,8,2.0304568
1400000US06037127920,6037127920,2019,4100,1,.024390243,2014,1,.049652431,1027,0,0,351,0,0
1400000US06037128101,6037128101,2019,3738,819,21.910112,1594,284,17.816813,942,220,23.354565,283,60,21.201414
1400000US06037128102,6037128102,2019,4795,167,3.4827945,2826,74,2.6185422,1259,52,4.1302619,256,6,2.34375
